"Index","Done","Offline","Length","Read","Path","Error"
"11","True","False","148625","148625","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\靜態特性\ID-VG轉移transfer特性圖（閾值電壓特性） .emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"12","True","False","224483","224483","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\多通道技术\3.三通道開關原因.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"13","True","False","237792","237792","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\靜態特性\崩潰特性.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"14","True","False","392037","392037","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\磊晶层技术\Back Barriers--InAlNGaN HEMTs With AlGaN Back Barriers.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"15","True","False","403141","403141","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\靜態特性\ID-VD輸出output特性圖（靜態導通電阻特性）.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"16","True","False","610195","610195","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\靜態特性\電容電荷特性.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"17","True","False","638842","638842","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據元件結構特征分類\依據SDG结构&接觸方式分類\SD\SD-Recessed\TLM（Transmission Line Method，傳.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"18","True","False","740108","740108","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據元件結構特征分類\依據SDG结构&接觸方式分類\Gate\Trigate--AlGaNGaN FinFET A Comparative Study.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"19","True","False","1051608","1051608","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件特性\靜態特性\辐射效应- TCAD based investigation of single event transient effect in double channel AlGaNGaN HEMT.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"20","True","False","1067634","1067634","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據元件結構特征分類\依據SDG结构&接觸方式分類\SD\SD-Recessed\图形沟槽--Optimization of Ohmic Contact .emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"21","True","False","1532629","1532629","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\磊晶层技术\C-Doped--High Figure-of-Merit (V²BRRON) AlGaNGaN Power HEMT With Periodically C-Doped GaN Buffer and AlGaN Back Barrier.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"22","True","False","1632889","1632889","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\磊晶层技术\AlN成核--Epitaxial growth of a high-qua.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"23","True","False","1818969","1818969","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\多通道技术\2.雙通道磊晶結構.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"24","True","False","1855168","1855168","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN元件整理\元件結構\依據元件結構特征分類\依據SDG结构&接觸方式分類\SD\SD-Recessed\均勻溝槽--Recessing process for Au-free ohmic contacts formation on AlGaNGaN heterostructures with .emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"25","True","False","3904432","3904432","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\磊晶层技术\Fe-Doped--The Effect of Heavy Fe-Doping on 3D Growth Mode and Fe Diffusion in GaN for High Power HEMT Application.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
"26","True","False","5794228","5794228","C:\Users\25902\OneDrive\佑的文件\文档\文件（学习）整理\碩士學習資料\研究資料\半導體學習資料\半导体元件资料\器件工程资料整理\GaN 资料整理\GaN磊晶整理\磊晶結構設計\橫向結構\多通道技术\3.三通道磊晶能帶模擬.emmx","#< CLIXML
<Objs Version=""1.1.0.1"" xmlns=""http://schemas.microsoft.com/powershell/2004/04""><Obj S=""progress"" RefId=""0""><TN RefId=""0""><T>System.Management.Automation.PSCustomObject</T><T>System.Object<"
